food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
- zucchini,21.0,2.71,0.4,3.11,0.0,1.1,3.0,0.083,yes
- zucchini or - yellow squash,21.0,2.71,0.4,3.11,0.0,1.1,3.0,0.083,yes
-dice spam,196.0,15.2,13.9,1.35,1.26,0.0,1030.0,4.51,yes
-grain blend,384.0,23.5,32.1,0.13,0.0,0.0,607.0,16.1,yes
-grain rice,416.0,10.0,5.0,82.6,0.0,0.0,233.0,0.0,yes
-grind bulgur,83.0,3.08,0.24,18.6,0.1,4.5,5.0,0.042,yes
-grind cornmeal,398.0,10.4,5.44,76.9,1.81,8.7,7.0,0.886,yes
-inch corn tortillas,224.0,7.91,8.31,29.4,1.79,1.5,511.0,3.37,yes
-inch garlic clove,274.0,5.97,13.0,65.5,2.38,33.9,277.0,3.95,yes
-inch ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
-inch piece ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
-inch piece of ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
-inch round refrigerated pie crust,506.0,3.41,28.7,58.5,0.0,1.4,472.0,11.1,yes
-inch square cheesecloth,426.0,3.64,15.6,77.4,69.4,4.0,3.0,8.61,yes
-inch strips lime zest,295.0,19.2,14.5,22.0,0.29,1.1,798.0,2.58,yes
-inch strips orange zest,295.0,19.2,14.5,22.0,0.29,1.1,798.0,2.58,yes
-inch-thick red bell pepperstrips,350.0,4.32,21.5,34.9,2.17,3.2,313.0,2.17,yes
-ingredient hummus dressing,237.0,7.78,17.8,15.0,0.62,5.5,426.0,2.56,yes
-less-fat cream cheese,350.0,6.15,34.4,5.52,3.76,0.0,314.0,20.2,yes
-less-sodium deli ham,134.0,19.6,5.8,0.93,0.5,0.0,1040.0,0.5,yes
-less-sodium smoked,177.0,16.4,11.9,0.0,0.0,0.0,481.0,1.74,yes
-percent saltwater solution,10.0,0.0,0.0,2.45,2.45,0.0,101.0,0.0,yes
-size eggplant,49.0,0.9,0.7,9.77,4.8,2.5,1670.0,0.14,yes
-size hard-shell clams,226.0,8.86,12.7,19.8,0.9,3.9,397.0,4.38,yes
-size ruby red grapefruit,44.0,0.5,0.1,10.5,10.3,0.2,8.0,0.008,yes
-size yellow onion,123.0,0.95,10.8,7.86,0.0,1.7,12.0,1.48,yes
-size yellow onions,123.0,0.95,10.8,7.86,0.0,1.7,12.0,1.48,yes
-sized golden beets,43.0,1.61,0.17,9.56,6.76,2.8,78.0,0.027,yes
